ID,EMAIL,FIRSTNAME,LASTNAME,PASSWORD
f0f28e55-ff04-4c14-a055-025e6bf8ba97,chris@gmail.com,Adeosun,Samuel,1234@a
d79e49d9-55e5-4662-84ba-8b23fb7ef06a,sam@gmail.com,Adeousn,Samuel,1234@a
45d3d902-9783-4653-869a-0931c1354075,chris1@gmail.com,Adeous,Dklajf,1234@a
a382fd17-8d29-435d-bca5-533cf2412d1e,chris2@gmail.com,Adewr,Dakld,1234@a
ce3563a6-a606-41fb-835b-56ce471259f9,chris3@gmail.com,Meyer,Chris,1234@a
19be5c72-1769-4843-8a53-6843e76e942d,chris4@gmail.com,Dis,Folarin,1234@a
21a91a69-6700-41a8-a279-44a1d82d48f3,chris6@gmail.com,Dklll,Jaks,1234@a
3d6ad04f-6d90-4f08-aebc-ed8cfd73eb63,chris7@gmail.com,Hioa,Hls,1234@a
7b0cff92-02af-4277-9537-814330cd6c89,chris8@gmail.com,Dusl,Klds,1234@a
6b113c13-63f2-498a-b387-85d3f8e4f91c,odun@gmail.com,Samuel,Odunayo,1234@a
c661f45f-86bd-41d3-9747-34cea9bb173c,row@gmail.com,Smith,Row,row@21
f9fcfb7a-f9e0-414c-a098-6498eef63fc3,adeosun@gmail.com,Adeosun,Samuel,1234@a
3a04b064-bb91-4044-b41a-73f4ba751d50,best@gmail.com,Best,Best,best@123
